old_speaker_name,new_speaker_name
3f0de68f-e620-49ba-5cef-08db46a76191,ack-juliet-stream-vermont
e86387f3-77e0-4345-9f67-08db28bb85b0,ack-sixteen-helium-bulldog
c6c49ecb-3f65-4366-fb5c-08db6d7755f1,alanine-happy-xray-lithium
edc855c9-4e06-4163-43da-08dc13e54ff5,alaska-uranus-equal-orange
33a571de-54ef-4b4d-b2f0-08db6e8bdba4,alpha-double-crazy-undress
6c6cbc6d-f66d-4b02-ea95-08db4e7b0019,angel-princess-alaska-lemon
a15bbc72-4ade-43dc-b89c-08db74d9e4d8,arizona-double-zulu-floor
10988087-9d14-4c9d-b58a-08dc5e199653,arizona-maryland-north-montana
1315d02d-1f43-4d11-a8ad-08dc1144581f,arizona-shade-carolina-iowa
4450c670-1015-4e12-ab55-08db7376d336,asparagus-alabama-cola-hydrogen
db8636a4-99d3-48d7-87ae-08dc74e08a4e,asparagus-lake-charlie-alanine
da6dfde2-5658-4ed3-82ea-08db6cec1e82,avocado-twenty-iowa-montana
511e8ca5-236a-4aeb-bf52-08db3cfd4e3e,bacon-beer-earth-hamper
3d7fc0a6-60cd-470f-4f4a-08db9399a6d5,bacon-football-mirror-angel
7661028e-95ae-44cd-029a-08db8ea270da,bacon-football-mississippi-mockingbird
24a73324-3a99-46e3-a1aa-08dc11dcc589,bacon-montana-romeo-apart
72592637-45fd-4eb0-5b85-08db2bb3509e,blossom-fourteen-beer-winner
e403c1ba-243b-4735-c2f7-08db4a8e24c0,blue-shade-mountain-jersey
55e37781-2d81-434e-3a28-08dc5fadb5c5,bulldog-table-enemy-muppet
63ebcb02-e259-4632-1f63-08db3dcbbd09,california-double-montana-mississippi
a94f44f1-aa52-4960-d2bd-08db4723ec09,california-freddie-robin-summer
0b9b6a5a-fff7-4129-8082-08db3c5502ba,cardinal-georgia-florida-winter
27a3a1ac-c916-4bac-0b97-08dc12b452f6,cardinal-ten-lamp-shade
db72a193-5788-4716-2cc5-08dc137c976d,carpet-louisiana-avocado-magazine
49009238-7353-4d86-abc9-08dc5d6a38e4,ceiling-november-summer-queen
32aa9cef-4937-4cfa-7a0b-08db42147f9a,ceiling-potato-wolfram-maine
1a029240-167d-4433-8b30-08dc44f243ab,charlie-alaska-saturn-paris
690a4970-0aa0-4457-115f-08dba7fa5465,charlie-lithium-jig-two
2c6c3eb4-9956-48b2-a6d7-08dc15310511,coffee-diet-queen-jersey
c5907823-602a-443c-1e31-08dbe1ed2b7f,coffee-lemon-lima-skylark
0871da63-c175-4b34-4eb5-08dbaa61e12d,cola-jupiter-lion-twenty
643b2422-2f9a-45d7-a16b-08dc11dcc589,cold-saturn-utah-virginia
65870458-e018-461d-a172-08dc11dcc589,colorado-island-winter-idaho
3415facd-2541-47f9-5b86-08db2bb3509e,connecticut-lamp-friend-three
0011deac-27ce-4d61-a02e-08db2c0e5fe3,connecticut-quiet-jig-wolfram
1a31d058-b4f0-4915-94e2-08dc0dffdde6,cup-monkey-potato-potato
f60008c4-fe6e-4a38-aa58-08dbfc00603a,cup-solar-oklahoma-sixteen
75884af1-0630-4e57-b82c-08dbb85ab880,dakota-earth-lemon-blue
987a5dad-44c2-4a6b-1184-08dba7fa5465,december-nine-pizza-finch
a38ae187-f5cc-4414-2713-08dc18a4ec91,delta-london-uniform-bulldog
d18cc111-39bc-4e6e-f3bd-08db49b9f20e,delta-robert-indigo-eleven
7913cfeb-79d2-41f1-87b7-08dc74e08a4e,don-saturn-cold-diet
682ed0c5-f41a-488b-0856-08db66fd04b0,early-pluto-paris-delta
3c9f3061-e5bd-4f9c-16eb-08dc1eef205f,earth-ten-mockingbird-monkey
37a9fbdc-03a6-4ebd-1f62-08db3dcbbd09,edward-network-avocado-shade
e7295175-4edb-4d5c-a1e9-08dc11dcc589,eight-november-vegan-green
7f36cf5a-a56b-4bd6-ef05-08db5cba8704,eleven-grey-tennis-comet
11da7376-f5ee-4093-9514-08dc7733f79d,eleven-robert-autumn-high
f4291b85-744e-41f6-9d02-08db701e3a54,eleven-west-fillet-cardinal
db83c1ba-3ccd-4939-c583-08dc27c1bd26,fanta-papa-montana-finch
57c429b4-a6c7-4e2a-dd1a-08db98f21470,fifteen-jupiter-ceiling-georgia
f5aa375b-c5eb-43e3-b06b-08db3156ae3a,fifteen-utah-delaware-east
27269d8c-d7c6-456c-6ece-08db6c5df3b4,fillet-harry-georgia-ohio
f5cfee85-0110-474a-6dab-08db348aa35d,fish-failed-beryllium-early
a358b4db-04f6-4c40-3917-08dc358e2588,fish-fillet-sixteen-princess
6b83360c-897c-4188-1070-08dc4d0abe5b,fish-princess-kansas-oven
e92aac78-9175-48b2-33ee-08dbad6081c5,five-utah-chicken-magnesium
9e7aa4fd-7ec8-4ae7-c277-08db783c5d41,fix-vegan-alanine-failed
b09e3d07-8df9-4958-5cae-08db25ba8c25,football-friend-ack-social
f384ec19-a3e8-4c8a-87b0-08dc74e08a4e,football-white-mountain-mexico
30367f4b-f259-4248-4cdd-08db4b718502,foxtrot-magazine-artist-single
578895fa-55a7-4ab4-ef6a-08db7199713e,friend-diet-montana-kentucky
91ef5c26-f0af-455d-a464-08db2b045661,fruit-charlie-timing-solar
70ba239b-9b51-4789-1096-08db6b8d1576,fruit-fillet-yellow-stairway
63f2665b-ddde-420b-d1ec-08db95465630,fruit-louisiana-blossom-tango
972c6e75-1fb1-470b-a1e1-08dc11dcc589,fruit-oregon-rugby-lemon
4972841b-fcaf-495f-d79e-08dc46c59895,georgia-five-xray-arkansas
132876ee-6363-4789-4e12-08db39529b19,glucose-seventeen-lactose-ink
52b660ca-1778-4dc4-5b83-08db2bb3509e,glucose-sierra-october-helium
edeaf033-ba86-46a5-4a52-08dc3c7b3134,golf-bacon-cola-virginia
ffbb560c-78e1-4dc2-aa21-08db7f28d1f2,green-one-coffee-potato
d19f737f-9070-499c-5c23-08db7125e1cf,grey-island-angel-four
bc3d8166-b7e5-45df-94f2-08dbadaf11d8,hamper-angel-earth-butter
8ee07e3b-57c6-4df3-f086-08dbffd6e72c,hamper-cardinal-kilo-fourteen
d847daf6-adac-4aaa-1f65-08db3dcbbd09,hamper-nuts-london-spaghetti
61668d9d-71d0-4e61-603d-08db888af625,harry-bacon-north-cola
674ab9df-ce7d-4118-abb1-08dc5d6a38e4,harry-eleven-charlie-sink
f65d47c1-0216-450c-67d2-08dbe21c871c,helium-twenty-ink-undress
c904ef6b-7796-4d27-db5e-08db263bd57d,high-uniform-connecticut-thirteen
